NESPP3,COMNAME,AtlantisGroup,Price
702,"CRAB,HERMIT",Shallow macrozoobentos,0.2186137676
708,"CRAB,GREEN",Shallow macrozoobentos,0.3714982138
710,"CRAB,RED AT",Shallow macrozoobentos,0.8731624299
711,"CRAB,JONAH",Shallow macrozoobentos,0.4940904663
712,"CRAB,ATLANTIC,ROCK",Shallow macrozoobentos,0.3998276402
713,"CRAB,UNC",Shallow macrozoobentos,0.3374293089
715,"CRAB,SPIDER",Shallow macrozoobentos,0.5387232698
724,"CRAB,HORSESHOE",Shallow macrozoobentos,0.5653325257
727,"LOBSTER,AMERICAN",Lobster,3.985570851
731,"SHRIMP,BROWN",Shrimp,2.398647103
733,"SHRIMP,ROYAL RED",,4.9972497335
735,"SHRIMP,NK",,0.9007192658
736,"SHRIMP,ATLANTIC & GULF, MARINE,UNC",Shrimp,0.4018131933
737,MANTIS SHRIMPS,,1.9603702138
738,"SHRIMP,ATLANTIC & GULF, BROWN",Shrimp,2.5775433478
743,"CLAM,BLOOD ARC",Other Benth. Filter Feeders,1.092599592
748,"CLAMS,HARD",Other Benth. Filter Feeders,0.7822869895
754,"CLAM,OCEAN QUAHOG",Other Benth. Filter Feeders,0.0684251978
760,"CLAM,RAZOR,ATLANTIC",Other Benth. Filter Feeders,2.1561381634
763,"CLAM,SOFT",Other Benth. Filter Feeders,1.1246619955
764,"CLAM,UNC",Other Benth. Filter Feeders,0.9449622351
765,"CLAM,ARCTIC SURF (STIMPSON)",,0
769,"CLAM,SURF",Other Benth. Filter Feeders,0.108410006
775,SNAILS(CONCHS),Benth. Herbivorous Grazers,0.4868886545
776,"WHELK,CHANNELED",Benthic carnivores,0.9378913957
777,"WHELK,KNOBBED",Shallow macrozoobentos,0.6143419297
778,"WHELK,LIGHTNING",Benthic carnivores,0.3847210194
779,"WHELK, WAVED",Benthic carnivores,0.4794591887
780,,,0.645663445
781,"MUSSEL,BLUE",,0.1073617985
786,OCTOPUS,Benthic carnivores,1.0981396548
789,"OYSTER,EASTERN",,0.6368415088
792,"OYSTER,EUROPEAN FLAT",,0.5659498675
796,"SCALLOP,UNC",Other Benth. Filter Feeders,0.7521615602
798,"PERIWINKLES, ATLANTIC (COCKLES)",Benth. Herbivorous Grazers,0.718187388
799,"SCALLOP,BAY",Other Benth. Filter Feeders,1.8753838272
800,"SCALLOP,SEA",Scallops,0.7413221409
801,"SQUID,LONG FINNED (LOLIGO)",Cephalopods,0.8552575274
802,"SQUID,SHORT FINNED (ILLEX)",Cephalopods,0.3321973567
803,"SQUIDS,UNC",Cephalopods,0.5078843441
804,"MOLLUSKS,UNC",,0.5263853232
805,SEA URCHINS,,1.2467798672
806,SEA CUCUMBER,,0.1618555032
815,"TURTLES,SNAPPING",,0.963845172
817,"SEAWEED,UNC",,0.0767985075
819,BLADDER WRACK,,0.1806161006
823,BLOODWORMS,,9.6172054916
824,WORMWEED,,0.0888840456
825,SANDWORMS,,4.9188396727
828,STARFISH,,0.1162588869
832,ROCKWEED,,0.1600503103
899,"SHELLFISH, OTHER",,1.9087358453
