"Year","ANC","BIL","BLF","BMS","BPF","BSB","BUT","CLA","COD","DOG","DRM","DSH","FDE","FDF","FLA","FOU","GOO","HAD","HAL","HER","ISQ","LOB","LSK","LSQ","MAK","MEN","MPF","NSH","OHK","OPT","OSH","PLA","POL","PSH","QHG","RCB","RED","REP","RHK","SCU","SDF","SHK","SK","SMO","SSH","STB","SUF","TAU","TUN","TYL","WHK","WIF","WOL","WPF","WSK","WTF","YTF","SCA"
1995,4626033.25983805,NA,2107916.01243412,102254.459602083,224966.183510638,669632.149270081,14485030.2495452,11775.4082638889,19888353.4113106,604790747.558679,27810764.9756241,666982.034173539,11819166.5677691,25569754.9861397,117557.933048324,6950564.21285941,9004469.47196297,30003132.5032964,161375.426859407,40952484.9096659,1686301.67003674,4085645.83552925,80932283.009157,13671646.2592536,39073394.8741148,101073.683581655,14315.0854444444,2742556.58687707,64663.5156458334,9627616.69116827,4535416.90486317,7833611.2015347,6964635.11706695,36795.5456458333,NA,105189.266343735,12567114.2622073,150169.950520833,8109910.19759883,4001255.15111384,487573.847484888,21899324.7232642,14404655.863797,12318108.9766357,381737.59675,5138883.55899909,6448471.12468636,22883.89075,214.369,18066.5429444444,14921191.0740714,6231836.60957255,686763.823406313,7391032.99669073,39522220.4921471,1691544.27045958,6107779.18354626,17110545.6134071
1996,4720957.4439753,NA,1168145.27153511,16746.1745184524,6858929.60636353,913093.102427691,5970897.96695822,NA,16400532.0735677,577335616.115203,7245097.48885239,765574.272591897,15404995.783591,30581760.4115628,68307.80730679,6035454.35867022,8963194.92900989,29358035.9528694,383842.581236111,25489064.5139546,2856130.40301821,7429788.77640206,90235596.7867124,8755293.2021432,24299980.7985721,19497.821421149,12007.2160119048,1419674.73055255,54352.3569304029,9904976.21692899,2080903.09676555,5928474.6011328,3466203.4311482,NA,NA,49185.1806416667,41815276.418848,172066.850666667,8853107.2342827,2692475.54579999,313656.800762451,24359361.1801142,21006809.3360137,8261524.16591864,551017.650416667,1803823.50037254,14987984.5177233,30361.7960333333,NA,5313.28878571429,11149169.8960442,7396026.39252492,483383.449363021,6991356.21417911,42351027.5867322,1833666.22875723,6605104.95335787,14067359.709068
1997,1083816.16884375,NA,1507145.49435974,13576.3311649306,547429.464644972,712964.93519704,13512915.5563616,6898.78418181818,14096128.2886284,501501633.706765,5335451.54556698,4707490.35148662,6119877.99600264,27445438.5889643,222380.121447746,6538310.72705192,7776640.54082328,26533783.7922922,422749.46304213,30251760.3127476,1435080.00616035,6560008.96738844,66002138.5489973,14988195.4098172,13069491.8815825,36945.425305,48398.4804384921,1835206.70517615,81875.063712963,10842871.0804898,1675472.76111624,5815406.31398386,9732020.76707983,321817.198230114,NA,117550.959504683,50470372.123319,1510437.28308879,8770950.25548919,3500674.38656016,55480.3489188161,11210870.9450272,12846546.5771212,16137612.427786,1099290.20022784,2067854.30790427,8281649.21169442,46589.5293333333,0,25560.5259027778,6675774.7596904,6705394.79416241,439223.430046329,7595450.9964128,25603297.8790065,1855206.43861939,11508269.2081417,14775791.9180565
1998,4739416.48635069,107781.005043478,1533941.75335064,21201.9683673262,793705.440049257,959044.586522876,14359279.0437022,NA,17449194.0687759,509883690.850166,13892842.1131701,1122536.37945482,6451963.77805798,24448081.2019138,197358.885626603,7438452.13315999,5641374.9106254,12500022.2879591,477020.557231061,21328188.8117654,2767868.14234221,5763993.99563658,86318384.2954287,9597249.38786835,9937067.3576153,4124.46732699275,14058.1829126984,3078416.98269142,61378.4383214286,6187506.973688,4200518.60420913,5705782.10194124,6238688.84163944,NA,NA,78526.6362301934,35925940.8582654,917896.795854167,9500576.17354131,5955304.60284408,204521.898311379,27550006.2073221,13142398.9584839,12196167.7181745,1017315.50051193,1423506.92378472,8909691.67726788,2192.81622916667,NA,9182.13883333333,6114430.36314772,9714277.94217326,196851.483636292,5559462.66642317,38500940.3850818,1999191.18472149,10233118.6146555,29898676.0500357
1999,4127345.77333043,4788.85033928571,4654300.52194324,23643.2650923701,453458.010694941,722576.927114996,11953368.9985568,NA,16411755.0411216,604376527.170558,31812617.4706319,2175038.10610099,5571254.84119837,29859303.2839436,423328.511793678,7640523.67909387,7785815.0265055,43528693.9959168,629642.107225284,30627224.5447428,806227.241775881,7420526.30779709,95683198.4563325,22590658.9494526,11725243.6611475,123664.116875,47848.9472083333,2218663.29994731,89619.4273948413,14389051.5829059,2401262.56256063,7204548.58145279,7231168.04322651,97671.875625,NA,17209.81128125,40726090.7590038,2746991.16213768,10398720.7437825,6281697.44753804,426329.54417824,23571523.1097286,11267409.8993381,12894723.0072616,84280.51215625,942019.185378684,11774934.5906266,16591.2673958333,NA,2166.65810714286,7863633.02554584,9666364.03844265,509995.29252004,8369731.19358114,48331643.6344956,2531904.10420899,17421168.2372778,22128656.9510181
2000,5908614.18133121,NA,1443876.7642532,50428.0906729933,210360.341142928,1331239.91129228,18093851.6324368,NA,18061937.8799375,424369571.990469,23378938.2869021,2936293.85914079,5808432.65575391,34048340.4670144,615464.142661043,8781061.96396143,10623613.0731091,46242795.4892852,82789.6055347222,17588212.6440943,1426009.14794148,9157357.8373131,76315228.387023,31221896.5461884,13406811.4815974,3803.26334166667,6349.29928521826,2069017.25972927,71274.139983428,8760405.45520619,2556524.97953573,8087498.62886371,4581378.23502851,77851.6751666667,NA,55028.5648335318,78061450.8217061,784195.094155303,13111921.9631229,10314164.2946863,341017.647207653,31337005.2526865,21330271.3718709,17372463.8065489,493853.328086806,2666456.55962946,16916536.6340898,24797.5806770833,NA,28111.3681354167,11762700.2082224,13811159.1113893,368629.825604167,4761307.48356264,36039305.6312951,2507576.15749828,11500081.9227592,58672431.854631
2001,1356394.30186083,NA,1500694.9795359,170403.314045679,1094401.32379691,2363199.4362085,11883116.9448287,NA,22415565.7001891,459421209.024716,12511113.0835548,1360050.80010209,8623681.70601353,36468698.6762359,456053.371313666,11127206.966342,13472678.1584524,39623340.5651129,1070847.12347005,24126987.1550896,756918.72660009,6559745.06739048,75730363.0748053,17333448.0913164,30808285.3456922,18594.8136620833,16134.5778297211,1126838.83098626,571211.472577668,15463441.2713446,72940.5138036513,8014229.16153158,9048135.70326912,NA,NA,144436.24361293,62397793.7186226,645992.736538462,13761459.9336933,8047794.18075668,301999.038994801,29209006.8804065,19144076.0129531,25710833.3875551,67975.07009375,1432837.41810447,23824952.930338,13005.9458708333,NA,116241.211701567,15444357.3722337,9706383.14086259,260524.101555125,12816568.4396842,52144329.085556,3491385.76598496,30251001.8550363,56652055.9800638
2002,6680369.86732005,NA,2189322.49230545,353256.672185084,1170923.92936529,4187302.15960281,8426174.19840841,4298.60459902778,39061882.5858031,666956653.881513,30407810.6397809,1992661.22565698,12273044.338487,39113680.1532339,585793.193596117,10526063.884583,14724848.3131063,60316612.7924058,525572.559810155,36589409.3602944,1321198.23175308,10721329.8662369,92571143.2911008,33989923.2594061,16085480.0573967,39289.6396404167,8926.68020865625,1466811.52423568,305888.11289634,9172607.45217643,201772.656625868,6282399.20412001,13258643.069514,NA,NA,54355.0883247513,96368448.8967751,2709168.625875,12621976.5314643,32247592.7321842,84928.9021980598,17723267.9783637,25532399.8666765,24095233.066404,275402.738073452,3181949.86406359,24701342.8384624,22576.5009160714,NA,132781.879317657,15256575.1660816,13799920.6414996,456665.06587634,6100823.61450214,60176803.4555181,3590219.69329323,10589294.9377465,64836817.6990416
2003,4060336.26555605,NA,1922088.75900769,48267.1586621485,275921.846619621,5296318.33627991,9358247.67262386,NA,19663314.4426821,411192619.893411,22700739.5840483,1972768.37655843,2651093.98868852,53966664.4569318,350031.781996451,7449911.93435053,13205645.7611363,45685632.1875516,241558.736257472,21870901.7720196,4077113.10175483,10013660.5156572,72680502.4135942,14200865.6448657,33084557.0241958,28555.0760621119,3735.47517100033,1273195.34564155,318068.797924375,8511957.14258191,439270.495983408,4790211.71046696,14414443.2044412,NA,NA,399136.125093699,90797953.4340922,NA,6176484.58003101,5005401.48791895,193732.723895212,16236144.8894309,32473520.269812,78016609.0817652,181344.473025417,2946001.30555883,26229266.3518396,80673.2808584559,NA,144845.050080952,12600042.8243334,8788404.78924208,392616.493014458,3800160.14764607,27388653.8542375,3119294.2438414,7371221.52602938,70426868.707305
2004,4592203.40932391,NA,3002191.33064051,41727.4716779052,502198.187481461,2233084.23815883,11384136.3541212,NA,21636964.7200978,436035430.035353,25660876.4083782,5438143.08070052,4926317.95234476,37672024.1251505,225301.215738608,10669060.4669614,13232508.6716636,89403067.5089185,927454.378172222,19083843.0163707,1058924.41698032,9762505.77725675,89106129.7758036,12510639.5603557,16289186.3680117,13099.0943053571,646.230748456445,2879416.31414571,252075.713849633,6817894.17861269,545044.214290306,4149576.81429648,8082357.64343369,30572.5922166667,NA,117518.143662101,92801032.438925,633894.492225,7249344.39210385,12728628.4762419,501209.501093558,11323437.4458855,27190142.3114999,42685406.5841151,582468.262329167,1611196.59210032,21752396.6377435,16487.0527996875,NA,821660.253846839,10551678.7124449,6325483.35650548,326427.79233586,4350296.3590855,47756298.5624328,3168775.99713719,5457883.36166135,83488185.062264
2005,2319261.70938299,NA,2084464.7714356,23706.4274836801,1419710.9853901,1557432.41814408,4966743.94348163,NA,10301179.6846785,550699856.666503,28386694.6341492,1547674.60339047,12129906.982917,24020691.1478701,290663.093738123,5574721.74474122,9319680.30954317,59349511.5534027,1025427.22106786,19928357.9445495,1579608.13362669,6896552.39332642,65448366.4817332,18185851.2913821,31856214.1005207,155702.605996528,22361.9667168008,2142917.54652895,315049.885462616,2514068.24315673,117453.456537614,3063903.84884171,21523977.3651465,372868.525977083,NA,410022.467816834,87724086.530001,90772.7666416667,4191739.01749439,4180694.67913879,297572.159628611,6578737.66129228,14128146.8965529,14846642.841752,228123.897564583,3761971.91436537,13416313.7721364,114.799065520833,7.9718471875,79866.1482972222,10880300.9057354,7105937.6617265,55491.0290000261,2807570.89404414,25555617.5793079,1841253.14630907,4134620.67751248,79344642.6376024
2006,1473061.86117792,NA,2772057.25045589,20780.7392271061,820044.851193841,1100003.24733357,14019709.8607119,NA,11823506.0639207,694382014.5042,40181668.8030109,1983942.74025087,6947032.75079424,25234394.9996033,365027.574760846,8588001.51010476,12229314.404096,55442119.8967824,967369.926572412,20078474.7398815,6386201.16417048,9032565.40767015,72495534.167941,34321068.424613,21285091.1466162,17877.1900411409,1335.59115444831,3740151.60636233,142295.28997225,3008017.59611762,4642319.73104126,4289521.20572919,7249295.64954953,NA,NA,293488.056285481,56650961.3711106,550526.388125,5872208.40447841,10305522.2539321,480635.915162843,8072928.52747381,28135619.0784444,11936344.2585123,1377864.78796151,2002814.97788131,18212196.543824,28371.9157908333,4.8233025,30591.4771047619,6730393.48454586,6534350.31136494,221178.444683063,4015521.59358368,38874253.2845257,2241587.90967379,7723388.85586463,65098718.2760784
2007,5232480.9062478,NA,1723170.92665462,71284.0567950817,1654887.71697638,764856.890376508,10839253.1692284,NA,21673423.6543761,667672906.973357,26611933.307412,1157926.73556215,6913921.01852571,26471792.2937677,211976.730236164,8440554.92604157,9463862.18447092,74647777.8323565,720424.454716829,17492190.3753438,2466496.37679175,6926176.67803001,58417223.0587997,23331824.4790751,11811982.7413268,67686.8586292857,5802.80301057263,2830094.02687712,337563.708311944,1739881.84424113,4251688.83299658,4629525.35172023,9776159.65763907,62762.7771791667,NA,94019.5104788069,83462776.6042565,2543562.38965385,7587293.9342045,10872986.7325869,317576.768196923,13253307.7905783,41669727.0995038,24864534.8701082,149262.008485417,1969112.67142232,17784764.1248212,122966.593892269,NA,6712.13264111607,11688025.6204857,5784066.29748803,11081.0462314583,2983652.45060773,35498761.6816916,1930850.60757669,10803003.9382109,59769343.7548537
2008,1853632.61641144,24603.6065055556,2526985.99664304,87808.9029211763,2175036.33566046,380852.822197656,11024239.6958986,NA,19295805.7429326,457418046.299147,38105679.9139346,4340968.69738676,11940121.5257294,21707843.2487779,111552.761338633,4778593.22115643,4041892.09145279,41725317.5868957,887196.192593681,14817695.7401734,2713547.80397623,10467431.6532678,29013997.8598581,16436593.8113859,23242360.9258276,58173.58349125,27736.5811203123,2087258.35991583,38812.5346347917,1805560.28548689,3183055.36021157,5864134.73092164,12689873.1151969,242353.979745833,NA,22325.8257187083,102114076.701965,1588295.64916667,8105405.66182756,9559069.97851794,374693.462299978,14154911.8345987,10502100.9853925,10077752.7553178,1896492.33355908,1681469.73141012,4541538.77407236,12687.9651875,NA,4820.6228875,12583236.3529272,10929943.0446006,173344.054469635,1338299.12927717,39096985.9941573,2257974.80524222,7422602.89538479,77282215.5412545
2009,180564.452341234,NA,4097514.10264994,142970.691336978,1586110.26281338,893266.658009594,14679279.9522151,NA,17527965.8353578,383183796.63876,21721205.9853558,2654165.86788689,16915545.8525076,24541107.8411119,181176.131618781,4948202.51643963,2024876.67597126,57743838.2750661,735357.319288336,16715552.3598205,3184830.85940395,11861514.8021922,27071561.6376488,18755283.3532086,29187065.9610406,1989250.07393452,19485.4764439866,4366028.7970741,210766.886236667,1373307.96389361,16971107.4838885,3984868.75112892,3261311.62132809,10946.2170625,NA,140820.898583234,120908718.232936,469075.100166667,7838038.93894634,7658992.35526119,134318.661722037,15647506.772529,8267536.01696054,25107770.7927419,1092147.82844306,1561001.26510903,4405063.62750343,28961.7580490278,1022.04886770833,13312.7838321875,10827863.9627919,6839697.23913265,243392.14495943,1788242.36849048,50150599.2592653,1222388.83381795,7827629.08811555,101216629.306012
2010,91168.8068650808,NA,4411708.67429733,94075.181116891,835676.737252805,702202.230773636,14620314.3369102,NA,11638353.8783365,400068943.108055,10456514.7308016,5274631.01266655,13736425.5594605,18912279.9527859,211899.552927791,5144643.12798829,2361132.76377257,59281033.2627436,1084708.73978601,10885880.4479684,1418486.15869208,13775075.2304178,39740678.8368896,21782230.5083734,14650216.5993577,122589.651809444,21799.5540772268,3065985.02142676,176931.478746111,1058040.14198652,8294935.74990832,4358236.88236099,6310718.78046867,25554.66052875,NA,162780.276913493,99110138.2827776,NA,9157660.2180967,13449342.1067285,113953.168788293,33460806.0174579,7929613.72503585,6270221.70105933,767128.994011111,5467162.80606406,3685898.88019372,9395.99796262153,22966.3930415278,33703.2901886921,15030592.7702766,6530581.39450334,364544.876161604,1894158.0884587,38881175.064302,1224979.83142639,8375760.29972104,83516491.8852977
2011,146351.897100506,NA,2574303.36632341,157020.135156078,2046066.37125002,392170.885646625,20681823.6342223,1631.92229267857,10312968.6516212,437274840.441708,11945931.3424936,1199752.04897988,12952534.9997004,18636742.5532654,153477.578551581,5285241.04128011,2924682.73047951,53975342.463793,649174.710537033,26606667.4058894,1824455.08507805,17868214.8457468,27597039.4831043,15486671.7016804,20966572.7224433,6123.12297680556,7857.36143944075,2941827.22623221,252168.316578945,841257.588179898,5588367.61322387,4936044.27545696,11755338.0117552,NA,3090.63528402778,122280.990306199,106103980.128574,418577.802604167,8232192.39538779,5677649.06554526,155022.617513814,27110872.2196533,9883778.15430507,8883680.5594815,NA,28274841.1030075,5212988.85338746,7359.10912916667,NA,5697.74193579861,14939179.57324,6509405.5425818,127632.831943141,1895223.56096776,33509575.3323243,1433304.16124266,4462057.15819672,57670248.1019597
2012,389652.836518153,NA,2893998.60123087,165858.055655126,1069821.28773056,846863.459352468,13117531.8116114,8731.82802618954,7039506.00560232,824077499.165383,22154561.7663088,2862499.59224202,11038949.7240328,21378974.3271022,218449.438453065,6226322.12284386,2830330.17933826,75328865.5845482,2766807.95271239,14345052.6967308,2004350.29707984,17967980.4515735,31181773.1776304,46300469.5254183,13872865.1449051,42967.4843570238,18456.8386260292,730022.345738947,150745.572968694,832705.281047729,5949202.42404372,4152243.48902263,4835404.3182484,NA,10636.4830041623,73645.7427084024,97249433.0661799,1500601.34258557,7361866.44725117,10711737.5852552,312878.319294039,47004237.911715,9542888.79184536,26924349.2021952,NA,1190964.15168007,4507981.01435328,13824.2708999947,1014.88834763889,7050.73783399306,12628049.6858198,8529254.23078586,461986.760154957,1920081.65582417,27577716.9118084,1202877.50375017,6094390.69884088,39032490.1309107
2013,35741.0224266369,NA,1242244.03621337,233502.296612367,546691.174566327,1393419.27975668,5509836.18715921,20239.7057045972,8015545.2017667,504129778.691645,42254396.1127067,2932573.8943662,10477635.1304004,16698561.8964489,89313.8723629494,4101673.69048791,2072017.54709892,141741774.634376,1039369.97180341,15884725.5181611,1018563.00595199,18572537.0788941,26177348.9022448,29904446.0981258,10790852.5891952,195011.278967065,19890.2908272946,NA,107314.892921597,552073.792707947,2141346.90266602,3654814.110094,3332244.77038558,145316.100438333,15354.8918915226,34066.315654375,65765330.4451242,9820517.8739981,7362801.94756718,4856939.27459635,648080.062297311,39456330.1805695,6622781.2223863,35529469.2042519,15375.0627384167,1385432.57177878,3943069.18683683,6212.77090166667,NA,12359.7200996181,5801064.81535365,3910302.32080686,85591.4525995952,2219199.84434643,17639648.7917746,723088.729844021,3302908.55112485,44513972.7724295
